role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
GK,GK_C01,Shots faced,10.02,11.04,-1.0199999999999996,-0.4740086039903228,1.0
GK,GK_C01,Shots on target faced,3.81,4.05,-0.23999999999999977,-0.2670283950941591,1.0
GK,GK_C01,Opponent's close-range shots,3.95,4.12,-0.16999999999999993,-0.16580358618084565,1.0
GK,GK_C01,Opponent's mid-range shots,3.22,3.84,-0.6199999999999997,-0.6816637931119255,1.0
GK,GK_C01,Opponent's long-range shots,2.75,2.93,-0.18000000000000016,-0.25083165402008717,1.0
GK,GK_C01,Opponent's close-range shots on target,1.11,1.22,-0.10999999999999988,-0.2639843857028728,0.9983443708609272
GK,GK_C01,Opponent's mid-range shots on target,1.62,1.74,-0.11999999999999988,-0.2627757190512672,1.0
GK,GK_C01,Opponent's long-range shots on target,1.03,1.02,0.010000000000000009,0.030849843085571885,1.0
GK,GK_C01,Opponent's shots xG,1.22,1.31,-0.09000000000000008,-0.2823281915218111,1.0
GK,GK_C01,xG per opponent's shot,0.12,0.12,0.0,0.0,1.0
GK,GK_C01,"Caught shots, %",0.30105000000000004,0.0057,0.29535000000000006,1.9999324927241653,1.0
GK,GK_C01,"Parried shots to safety, %",0.2928,0.0,0.2928,2.0619619255270845,1.0
GK,GK_C01,"Parried shots into danger, %",0.0385,0.0,0.0385,1.4728456039703894,1.0
GK,GK_C01,Opponent's crosses,15.075,9.7,5.375,1.4675702804293094,1.0
GK,GK_C01,Cross and pass interception attempts,0.88,0.47,0.41000000000000003,1.102614083140014,0.9983443708609272
GK,GK_C01,Successful cross and pass interception attempts,0.83,0.3,0.53,1.3585834935966996,0.9966887417218543
GK,GK_C01,Sweeping actions,0.34,0.34,0.0,0.0,0.9586092715231788
GK,GK_C01,Sweeping actions successful,0.33,0.33,0.0,0.0,0.9536423841059603
GK,GK_C01,Passes,23.81,28.65,-4.84,-0.761703857619142,1.0
GK,GK_C01,Open play passes,12.8,19.03,-6.23,-0.8540089995236148,1.0
GK,GK_C01,Passes from set pieces,7.095,8.03,-0.9349999999999996,-0.4408687548925494,1.0
GK,GK_C01,Goal kicks,5.24,5.655,-0.41500000000000004,-0.2691805764387551,1.0
GK,GK_C01,Long passes,9.440000000000001,11.15,-1.709999999999999,-0.4236307715533483,1.0
GK,GK_C01,Progressive open passes,2.075,2.6,-0.5249999999999999,-0.48594207564234837,1.0
GK,GK_C01,Short passes,1.35,1.28,0.07000000000000006,0.06918053756740314,0.9983443708609272
GK,GK_C01,Medium passes,12.875,15.35,-2.4749999999999996,-0.4525003430058245,1.0
GK,GK_C01,Goal kicks short (<15 m),1.06,0.83,0.2300000000000001,0.3972463382601951,0.9933774834437086
GK,GK_C01,Goal kicks medium (15-40 m),1.17,1.36,-0.19000000000000017,-0.27833957346746135,0.9983443708609272
