role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
CB,CB_C01,Passes,42.08,44.72,-2.6400000000000006,-0.23643291949065295,1.0
CB,CB_C01,Short passes,6.14,6.79,-0.6500000000000004,-0.23702238730140648,1.0
CB,CB_C01,Long passes,2.48,2.71,-0.22999999999999998,-0.17278957722707158,1.0
CB,CB_C01,Progressive passes,9.11,9.81,-0.7000000000000011,-0.24084999480939265,1.0
CB,CB_C01,Passes forward to the final third,4.17,4.67,-0.5,-0.27821816668517463,1.0
CB,CB_C01,Defensive challenges,4.53,5.46,-0.9299999999999997,-0.4352177502886601,1.0
CB,CB_C01,Tackles,0.99,1.32,-0.33000000000000007,-0.4363878455901051,1.0
CB,CB_C01,Interceptions,2.2,2.71,-0.5099999999999998,-0.24451217272435724,1.0
CB,CB_C01,Ball recoveries,5.04,5.64,-0.5999999999999996,-0.5103277114568785,1.0
CB,CB_C01,Air challenges,3.26,3.5,-0.2400000000000002,-0.17879528264191996,1.0
CB,CB_C01,Lost balls,2.77,2.98,-0.20999999999999996,-0.2174634599369565,1.0
CB,CB_C02,Passes,40.43,44.72,-4.289999999999999,-0.38420349417231087,1.0
CB,CB_C02,Short passes,6.33,6.79,-0.45999999999999996,-0.16773892024407216,1.0
CB,CB_C02,Long passes,2.565,2.71,-0.14500000000000002,-0.10893255955619732,1.0
CB,CB_C02,Progressive passes,8.59,9.81,-1.2200000000000006,-0.41976713381065534,1.0
CB,CB_C02,Passes forward to the final third,3.97,4.67,-0.6999999999999997,-0.3895054333592443,1.0
CB,CB_C02,Defensive challenges,7.96,5.46,2.5,1.1699401889480114,1.0
CB,CB_C02,Tackles,2.06,1.32,0.74,0.9785666840505385,1.0
CB,CB_C02,Interceptions,6.22,2.71,3.51,1.6828190711029298,1.0
CB,CB_C02,Ball recoveries,6.335,5.64,0.6950000000000003,0.5911295991042181,1.0
CB,CB_C02,Air challenges,3.85,3.5,0.3500000000000001,0.2607431205194664,1.0
CB,CB_C02,Lost balls,2.73,2.98,-0.25,-0.25888507135351974,1.0
CB,CB_C03,Passes,55.650000000000006,44.72,10.930000000000007,0.9788681098609234,1.0
CB,CB_C03,Short passes,8.78,6.79,1.9899999999999993,0.7256531549689207,1.0
CB,CB_C03,Long passes,3.37,2.71,0.6600000000000001,0.49583096073855343,1.0
CB,CB_C03,Progressive passes,13.274999999999999,9.81,3.464999999999998,1.1922074743064912,1.0
CB,CB_C03,Passes forward to the final third,6.69,4.67,2.0200000000000005,1.1240013934081057,1.0
CB,CB_C03,Defensive challenges,5.34,5.46,-0.1200000000000001,-0.056157129069504604,1.0
CB,CB_C03,Tackles,1.32,1.32,0.0,0.0,1.0
CB,CB_C03,Interceptions,2.45,2.71,-0.2599999999999998,-0.12465326452614285,1.0
CB,CB_C03,Ball recoveries,6.02,5.64,0.3799999999999999,0.32320755058935646,1.0
CB,CB_C03,Air challenges,3.52,3.5,0.020000000000000018,0.014899606886826662,1.0
CB,CB_C03,Lost balls,3.675,2.98,0.6949999999999998,0.7197004983627846,1.0
FB,FB_C01,Passes,35.31,41.22,-5.909999999999997,-0.6341639731270339,1.0
FB,FB_C01,Progressive passes,6.13,7.68,-1.5499999999999998,-0.6137109605187754,1.0
FB,FB_C01,Passes forward to the final third,3.54,4.5,-0.96,-0.5673350063549991,1.0
FB,FB_C01,Final third entries,0.93,1.48,-0.5499999999999999,-0.5655410118989201,0.9994347088750707
FB,FB_C01,Final third entries through pass,0.84,1.3,-0.4600000000000001,-0.6336601771763614,0.998304126625212
FB,FB_C01,Final third entries through carry,0.12,0.22,-0.1,-0.2578430925871486,0.686263425664217
FB,FB_C01,Crosses,1.43,1.7,-0.27,-0.28927654662589464,0.998304126625212
