role_bucket,style_cluster_id,style_cluster_name,n_players,median_age,median_minutes,top_leagues,representative_players,distinctive_high,distinctive_low
CB,CB_C01,Unlabeled CB_C01,2097,28.0,1805.0,,"Sergio González (CD Leganés, ) | Theocharis Iliadis (Larissa, ) | Brayan Ceballos (New England, ) | César Tárrega (Valencia CF, ) | Pontus Lindgren (Mariehamn, ) | Dario Zuparic (Portland Timbers, ) | David Torres (Real Valladolid, ) | Jon Pacheco (Real Sociedad, )","+Long passes, +Air challenges, +Lost balls, +Passes, +Short passes","-Ball recoveries, -Tackles, -Defensive challenges, -Passes forward to the final third, -Interceptions"
CB,CB_C02,Unlabeled CB_C02,1372,28.0,1654.0,,"Milen Stoev (Botev Vratsa, ) | Ahmed Castelo (Zed FC, ) | Zé Marcos (EC Juventude, ) | Emanuel Britez (Fortaleza EC, ) | Weverton Silva de Andrade (Vila Nova, ) | Erik Palmer-Brown (Panathinaikos FC, ) | Yoann Salmier (Le Havre AC, ) | Matheus Duarte Rocha (Al-Orobah FC, )","+Interceptions, +Defensive challenges, +Tackles, +Ball recoveries, +Air challenges","-Progressive passes, -Passes forward to the final third, -Passes, -Lost balls, -Short passes"
CB,CB_C03,Unlabeled CB_C03,1238,27.0,2018.0,,"Bai Yang (Beijing Guoan, ) | Marco Friedl (SV Werder Bremen, ) | Arouna Sangante (Le Havre AC, ) | Alessio Castellini (Mantova, ) | Christoph Kobald (Karlsruher SC, ) | Anselmo García MacNulty (PEC Zwolle, ) | Lasse Nielsen (Vejle Boldklub, ) | Adam Masina (Torino FC, )","+Progressive passes, +Passes forward to the final third, +Passes, +Short passes, +Lost balls","-Interceptions, -Defensive challenges, -Tackles, -Air challenges, -Ball recoveries"
FB,FB_C01,Unlabeled FB_C01,1769,26.0,1542.0,,"Saël Kumbedi (VfL Wolfsburg, ) | Aaron Sebastian Astudillo Quinones (Cobresal, ) | Kang-Han Lee (Cheongju, ) | Weverson (FC Arouca, ) | Antoine Hainaut (Parma Calcio 1913, ) | Jayden Bogle (Leeds United, ) | Niccolo Pierozzi (Palermo, ) | Han-Gil Kim (Gwangju, )","+Dribbles, +Open passes received in the final third, +Lost balls, +Final third entries through carry, +Crosses","-Passes, -Final third entries through pass, -Progressive passes, -Passes forward to the final third, -Final third entries"
FB,FB_C02,Unlabeled FB_C02,1518,27.0,1786.0,,"Abdul Rahman Baba (PAOK, ) | Carlos (Cordoba CF, ) | Vitaliy Mykolenko (Everton FC, ) | Guillermo Alfonso Pacheco Tudela (Deportes Limache, ) | Lucas Sebastian Soto Olivares (Everton, ) | Camora (CFR Cluj, ) | João Mendes (Vitoria Guimaraes, ) | Fabian Wohlmuth (Wolfsberger AC, )","+Passes forward to the final third, +Progressive passes, +Passes, +Lost balls, +Final third entries through pass","-Final third entries through carry, -Dribbles, -Tackles, -Defensive challenges, -Open passes received in the final third"
FB,FB_C03,Unlabeled FB_C03,1125,27.0,1607.0,,"Cristiano da Silva Leite (Operario PR, ) | Marlon (Cruzeiro EC, ) | Kazımcan Karataş (İstanbul Başakşehir FK, ) | Amr El Saadawy (El Masry SC, ) | Marlon (Grêmio FBPA, ) | David Petrovic (Al Nasr, ) | Wendell (São Paulo FC, ) | Christopher Operi (İstanbul Başakşehir FK, )","+Final third entries, +Final third entries through carry, +Defensive challenges, +Tackles, +Final third entries through pass","-Lost balls, -Passes forward to the final third, -Progressive passes, -Passes, -Ball recoveries"
MF,MF_C01,Unlabeled MF_C01,1836,26.0,1555.0,,"Matteo Francesconi (Cesena, ) | Isaac Hayden (Queens Park Rangers, ) | Javier Guemez Lopez (Santos Laguna, ) | Kofi Jeremy Amoako (Dynamo Dresden, ) | Emmanuel Maker Lam Patut (Mariehamn, ) | Jakub Hromada (FC Rapid 1923, ) | Lucas Ariel Menossi (Club Atlético Belgrano, ) | Michel Adopo (Cagliari Calcio, )","+Ball recoveries, +Interceptions, +Defensive challenges, +Chances created, +Final third entries through carry","-Passes, -Open passes received, -Open passes received in the central third, -Final third entries through pass, -Final third entries"
MF,MF_C02,Unlabeled MF_C02,1131,27.0,1825.0,,"Shea Charles (Southampton FC, ) | Fernando Gorriarán (Tigres UANL, ) | Arthur Avom (FC Lorient, ) | Jayson Molumby (West Bromwich Albion, ) | Melker Heier (IK Sirius, ) | Sergio Ortu (Cádiz CF, ) | Erick Gutierrez (Guadalajara, ) | Simon Olsson (IF Elfsborg, )","+Passes, +Passes forward to the final third, +Progressive passes, +Open passes received in the central third, +Open passes received","-Defensive challenges, -Interceptions, -Final third entries through carry, -Final third entries, -Ball recoveries"
MF,MF_C03,Unlabeled MF_C03,1024,28.0,1508.5,,"Andrian Kraev (Hapoel Tel Aviv, ) | Juan Sebastián Pedroza (Al-Batin FC, ) | Raul Lo Goncalves (Red Bull Bragantino, ) | Suhayb Al-Zaid (Al-Fateh SC, ) | Feras Abu Akel (Ironi Tiberias, ) | Murad Al-Hawsawi (Al-Khaleej FC, ) | Nebojsa Kosovic (Al-Tai FC, ) | Ismail Moumen (Ajman, )","+Interceptions, +Defensive challenges, +Final third entries, +Ball recoveries, +Final third entries through carry","-Open passes received in the final third, -Chances created, -Passes for a shot, -Lost balls, -Passes forward to the final third"
MF,MF_C04,Unlabeled MF_C04,509,28.0,1799.0,,"Qazim Laçi (Caykur Rizespor, ) | Borislav Tsonev (CSKA 1948, ) | Nadav Aviv Niddam (Hapoel Petah Tikva, ) | Youssouf M'Changama (Al-Batin FC, ) | Sérgio Oliveira (Sport Recife, ) | Victor Alfonso Guzman Guzman (Pachuca, ) | Carel Eiting (Twente Enschede FC, ) | Saman Ghoddos (Al-Ittihad Kalba SC, )","+Chances created, +Key passes, +Passes for a shot, +Lost balls, +Open passes received in the final third","-Ball recoveries, -Defensive challenges, -Interceptions, -Open passes received in the central third, -Passes"
MF,MF_C05,Unlabeled MF_C05,442,29.0,1726.0,,"Achraf Harmach (Maghreb Fes, ) | Danielzinho (Mirassol, ) | Gojko Cimirot (Al-Fayha FC, ) | Pedro Chirivella (Panathinaikos FC, ) | Abdulaziz Al Sharid (Al-Jabalain FC, ) | Yahia Nader (Al-Ain FC, ) | Driss Fettouhi (Al-Ahli SC, ) | Netinho (Ferroviaria, )","+Final third entries, +Final third entries through pass, +Open passes received, +Open passes received in the central third, +Passes","-Lost balls, -Ball recoveries, -Defensive challenges, -Chances created, -Interceptions"
AM,AM_C01,Unlabeled AM_C01,642,27.0,1463.5,,"Lucas Manuel Silva Ferreira (Luzern, ) | Ryoya Morishita (Blackburn Rovers, ) | Alexis Zapata Alvarez (Independiente Santa Fe, ) | Nico Maier (Blau-Weiss Linz, ) | Jurica Prsir (HNK Gorica, ) | Ruben Muller (SC Paderborn 07, ) | Omar Fathi Saviola (Haras El Hodood, ) | Ren Asakura (Fujieda MYFC, )","+Passes forward to the final third, +Progressive passes, +Passes, +Short passes, +Final third entries","-Actions in opponent's box, -Shots, -Open passes received in the opponent's box, -Dribbling in the final third, -Dribbles"
AM,AM_C02,Unlabeled AM_C02,515,29.0,1804.0,,"Tomás Silva (Dobrudzha Dobrich, ) | Francisco Trincão (Sporting CP, ) | Benjamín Rollheiser (Santos FC, ) | Diego Joel Torres Garcete (Amazonas, ) | Xavi Simons (RB Leipzig, ) | Guillermo Balzi (APO Levadiakos, ) | Tobias Gulliksen (Djurgårdens IF, ) | Younes Belhanda (Al-Shamal SC, )","+Passes for a shot, +xA, +Key passes, +Open passes received in the final third, +Chances created","-Actions in opponent's box, -Shots, -Dribbling in the final third, -Open passes received in the opponent's box, -Dribbles"
AM,AM_C03,Unlabeled AM_C03,498,26.0,1377.5,,"Yudong Wang (Zhejiang FC, ) | Luka Mamic (Varazdin, ) | Eli Junior Kroupi (AFC Bournemouth, ) | Williot Swedberg (Celta de Vigo, ) | Ousseni Bouda (SJ Earthquakes, ) | Yanis Begraoui (Estoril, ) | Ricardinho (CD Santa Clara, ) | Kenan Karaman (FC Schalke 04, )","+Actions in opponent's box, +Open passes received in the opponent's box, +Shots, +Dribbling in the final third, +Dribbles","-Passes, -Progressive passes, -Passes forward to the final third, -Short passes, -Final third entries"
W,W_C01,Unlabeled W_C01,1549,25.0,1345.0,,"Jaidon Anthony (Burnley FC, ) | Diego López (Valencia CF, ) | Jonathan Alexander Perez Lara (Nashville SC, ) | Ronald Pereira Martins (Swansea City, ) | Dennis Gjengaar (New York RB, ) | Daniel Andres Luna Garcia (Huesca, ) | Soliu Afolabi (Slovan Liberec, ) | Diego López (Valencia CF, )","+Ball recoveries, +Shots from the penalty area, +Defensive challenges, +Shots, +Open passes received in the opponent's box","-Carry, -Open passes received, -Open passes received in the final third, -Passes for a shot, -Passes into the penalty box"
W,W_C02,Unlabeled W_C02,890,26.0,1430.0,,"Ahmed Adel Elkalamawy (Zed FC, ) | Guilherme (Santos FC, ) | Guilherme (Fortaleza EC, ) | Jasir Asani (Esteghlal FC, ) | Dada Belmonte (CRB, ) | Darwin Jesus Gonzalez Mendoza (Al-Orobah FC, ) | Arthur Gomes (Cruzeiro EC, ) | Alesson (Mirassol, )","+Final third entries through carry, +Dribbling in the final third, +Dribbles, +Actions in opponent's box, +Final third entries","-Ball recoveries, -Progressive passes, -Defensive challenges, -Shots, -Crosses"
